ANS,ANS-TIME,Mean ECG,STD ECG,Mean EDA,STD EDA,PIC,SOUND,CO
4.0,2.5860610492072738,-0.0012528643729438189,0.13242360644590187,7.667657470703125,0.07712816358311551,1,-1,0
4.0,0.9177062753524295,-0.0013594074048812984,0.16515001159578288,7.746221923828125,0.04726243927888743,1,-1,0
2.0,0.8843448469206123,-0.0020708273829317023,0.13109679032660368,7.469610595703125,0.03418220819533485,-1,1,0
2.0,1.3848239043663852,0.0001728806587051883,0.13612653107587278,7.72210693359375,0.0952075205537982,1,-1,0
1.0,1.0011484171600389,0.00023215578763406783,0.1310553845512288,7.901776123046875,0.0841340064967308,1,-1,0
4.0,0.3504602373313901,0.0005801648367655932,0.1297179083949342,7.83248291015625,0.048867117507929096,1,-1,0
2.0,2.1356008719085366,-0.0019166722602016488,0.13394352014492608,7.462758382161457,0.02581794123518561,-1,1,0
1.0,0.33381088997248304,0.0006969953814301758,0.1321092172095524,7.109183756510418,0.049417053688328536,-1,1,0
4.0,0.8343220646775079,0.0017923802757278922,0.14775699459449776,7.7336161295572925,0.16395663916871012,-1,1,0
4.0,0.6507737257998087,0.009953786942050442,0.3576116794476024,7.60164794921875,0.06637168919902367,-1,1,0
2.0,0.3003969333112764,0.0020376031537738533,0.12988655475627994,8.01043701171875,0.05876064902371616,1,-1,0
1.0,0.2003138486625176,-0.001094494844773321,0.12949008291809191,8.001426188151042,0.06187908974557986,1,-1,0
4.0,0.36714080146703054,-0.0028281578624770767,0.13121577567623474,7.883339436848957,0.013661098623103052,1,-1,0
3,,0.004041680324842117,0.2347766183070295,7.821909586588543,0.05454414648595984,0,0,1
3,,-0.0003344274661287523,0.11803583388131288,8.278436279296875,0.04597386283910685,0,0,1
2.0,0.00019090259138465626,-0.0025867507596844213,0.12723564418036687,8.2896728515625,0.05774957996067005,1,-1,0
1.0,0.3004317520235418,-1.6668702951357988e-05,0.1410286308239585,8.155859375,0.0372750102659953,-1,-1,1
3,,0.00013509455395774121,0.13017461473786618,8.2608154296875,0.03251959540100239,1,-1,0
3,,0.0011527438865747807,0.13485432489110272,7.962129720052084,0.03292115377070507,-1,-1,1
2.0,0.2503432344537941,0.003425188355896381,0.13123106962277686,7.846144612630209,0.04529622098845237,1,1,1
4.0,1.1513194190556533,-0.003196008609841279,0.22100018166008287,7.978438313802084,0.23253979933484026,1,-1,0
2.0,0.6841246485864758,0.0020913769339669635,0.14091223515155954,7.8993896484375,0.02546585675053551,-1,-1,1
1.0,0.20030844575921947,0.0013021750763495398,0.1275928256845782,8.273634847005209,0.01355877538278753,-1,1,0
1.0,1.0345152484942446,0.0007931826915990911,0.13242312892579858,8.228517659505208,0.022450342213254204,-1,-1,1
3,,0.002929366468158421,0.13421145452478705,8.142873128255209,0.033607524381553365,1,1,1
2.0,0.30040773911878205,-3.3751969570551486e-05,0.13354768065401246,8.150738525390626,0.056774106317775866,-1,1,0
2.0,0.3337598625503233,-0.0007153748121945194,0.1289947138585168,8.235502115885417,0.08238265554277338,0,0,1
3,,-4.605476323957906e-05,0.1312887883765479,8.405320231119791,0.02139166963851837,0,0,1
2.0,0.30041044057088584,0.0006380641431816299,0.1352758315481726,8.169547526041667,0.023016538607761497,-1,1,0
1.0,1.134572819432833,-0.00010674673883766788,0.13336309778099656,8.134222412109375,0.03018812998877153,-1,-1,1
3,,0.0008755921588515844,0.13143248932802815,7.7548583984375,0.044406951630302345,0,0,1
1.0,0.3838297701186093,2.3989064965808107e-05,0.1365826196817385,7.5465962727864575,0.037226452713322325,-1,-1,1
2.0,0.3838144618912338,-0.0011988960940427695,0.13392830044432988,7.199094645182291,0.03447252795249882,0,0,1
3,,0.0005378286751283299,0.17198678397224015,7.199247233072916,0.3286894789700621,0,0,1
3,,-0.0019665137087528832,0.13060868747776472,8.143422444661459,0.036064666488948585,1,1,1
3,,-0.0012971572019050141,0.1353229366851236,8.172049967447917,0.07907786816373508,1,1,1
2.0,1.1012297008410314,-0.0011290445197755885,0.13956107304754015,8.027876790364584,0.046594564838535184,1,1,1
2.0,0.3171009100287847,-9.969994592414424e-05,0.13318139493584694,7.779097493489584,0.022369685544705437,-1,1,0
1.0,0.3838360735053357,0.0021286993795443412,0.1313116929320419,8.011936442057292,0.024512644712699087,1,-1,0
2.0,1.1835270768715418,8.864041074576034e-05,0.22773193690043655,3.1892720540364583,0.07999892618924763,-1,-1,1
1.0,2.5169074353325414,0.0023049600443432053,0.240140005644755,3.5913594563802085,0.0402199283555838,-1,1,0
5.0,1.1669327088384307,0.00020002322507279728,0.2296703724771796,3.27196044921875,0.019580064172652574,1,1,1
1.0,3.700166468963289,0.0009341363833052293,0.22508288715482272,3.5947672526041665,0.0387055726519453,1,-1,0
2.0,4.133477130177198,-0.003450300621815124,0.2138372362391613,3.4413330078125,0.02695406483656378,1,-1,0
3,,0.0009924165357179454,0.22583956578824016,3.27178955078125,0.029391770851070295,1,-1,0
4.0,0.5333958467417688,0.0002932149619049936,0.21389445113771985,3.0430257161458334,0.03197907848532382,1,1,1
5.0,1.200410499372083,-0.00040206571813352097,0.2263169476709449,2.9186360677083334,0.022553972336943028,1,1,1
5.0,0.9001441370273824,-0.00303175994059858,0.2083324282191038,2.799951171875,0.014306807272920203,1,1,1
2.0,2.2169262253773923,-0.003555840625735075,0.2220485573229837,2.723284912109375,0.01889316059751225,1,-1,0
1.0,2.0001338715410384,-0.0011639208610753312,0.2282232461350608,2.599540201822917,0.02234225073217778,1,-1,0
1.0,1.4833933253939904,0.0006618230238195068,0.23056120834166885,2.4219462076822915,0.04299371047367426,-1,-1,1
1.0,0.8334475943920552,0.0009458080820539435,0.21749279155459447,2.6792887369791667,0.019900978781134795,1,-1,0
3,,-0.0005266214215327081,0.22837549643801155,2.624471028645833,0.01651933038328389,0,0,1
1.0,2.116759096061287,-0.0001265012881126344,0.2277958337551987,2.444427490234375,0.02600578180125584,-1,-1,1
2.0,0.40010781761520775,-0.0019473358353594766,0.2155188539688958,2.2267822265625,0.04419992115666764,-1,-1,1
3,,-0.001599156442332802,0.2235946043000488,2.089949544270833,0.02522396722037651,1,-1,0
4.0,6.116753993333987,-0.00492534574560095,0.2327573568606651,1.876104736328125,0.044506379064299495,1,-1,0
3,,-0.0002972726822628773,0.22062311856406625,2.0594136555989584,0.1483215826264426,-1,1,0
